Week,ErrorType,Scope,ErrorID,Message,AffectedSites,NumSites,TotalOccurrences
2024-W33,10220_Le code postal du client contractuel doit être renseigné.,Contrat - Infos générales,10220,Le code postal du client contractuel doit être renseigné.,BH120,1,1
2024-W33,10221_La ville du client contractuel doit être renseignée.,Contrat - Infos générales,10221,La ville du client contractuel doit être renseignée.,BH120,1,1
2024-W33,30404_Le message de la note doit être renseigné.,Exploitation - Note,30404,Le message de la note doit être renseigné.,BK207;BP182,2,2
2024-W33,"22910_Le PDS général possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",Patrimoine - PDS Evènements (Codes Obs),22910,"Le PDS général possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",BM161;BM364,2,2
2024-W33,"22905_Le PDS EF possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",Patrimoine - PDS Evènements (Codes Obs),22905,"Le PDS EF possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",BM364,1,1
2024-W33,22809_Il manque la valeur de la clé libre pour un ou plusieurs exercices,Patrimoine - Local Cle Libre,22809,Il manque la valeur de la clé libre pour un ou plusieurs exercices,BN189;CG591;CI595,3,13
2024-W33,"40814_Une seule clé, libre ou pré-définie, peut être renseignée.",Valorisation - Répartition Ligne Frais,40814,"Une seule clé, libre ou pré-définie, peut être renseignée.",BN189;CG591,2,15
2024-W33,20902_Impossible de réaliser une pose sur un pds sans radiateur déclaré.,Patrimoine - Pose RFC,20902,Impossible de réaliser une pose sur un pds sans radiateur déclaré.,BO848;CG949;CH057;CI297;CJ001;CJ006;CJ541,7,9
2024-W33,21714_Le modèle n'existe pas dans le référentiel Imago.,Patrimoine - Maintenance Dépose/Pose Eau chaude,21714,Le modèle n'existe pas dans le référentiel Imago.,BP627;BP629;BP630,3,65
2024-W33,21028_Le modèle de l'appareil renseigné est pour le fluide EF qui ne correspond pas au fluide du PDS (EC).,Patrimoine - PDS Eau Chaude,21028,Le modèle de l'appareil renseigné est pour le fluide EF qui ne correspond pas au fluide du PDS (EC).,BP629;BQ599;CO047;CO068;CO831;CP678;CQ841,7,150
2024-W33,"22904_Le PDS EC possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",Patrimoine - PDS Evènements (Codes Obs),22904,"Le PDS EC possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",BP629;CE749;CI724;CN987,4,5
2024-W33,23009_Le PDS EC possède une dépose définitive du compteur,Patrimoine - PDS Evènements (Codes Obs),23009,Le PDS EC possède une dépose définitive du compteur,BP629;CI724;CN987,3,4
2024-W33,"40012_Une consommation doit être fournie pour le scope Traitement, PDS General, Fluide.",Valorisation - Consommation PDS,40012,"Une consommation doit être fournie pour le scope Traitement, PDS General, Fluide.",BP866,1,1
2024-W33,40216_Si 2 indexes pour la même date alors l'un doit être de type Réel et l'autre de type Forcé.,Valorisation - Index,40216,Si 2 indexes pour la même date alors l'un doit être de type Réel et l'autre de type Forcé.,BP866,1,1
2024-W33,21818_La VI ne peut être déclarée que si une prestation de VI existe.,Patrimoine - Maintenance Dépose/Pose CET,21818,La VI ne peut être déclarée que si une prestation de VI existe.,BP882,1,7
2024-W33,21222_Les champs de la pose doivent être tous vides ou tous renseignés.,Patrimoine - PDS CET,21222,Les champs de la pose doivent être tous vides ou tous renseignés.,BP900;BQ433;BQ545,3,38
2024-W33,10602_Le modele d'appareil préconisé doit être renseigné.,Contrat - CET,10602,Le modele d'appareil préconisé doit être renseigné.,BQ313,1,1
2024-W33,10633_En présence d'une prestation de relève il doit exister au moins un device actif.,Contrat - CET,10633,En présence d'une prestation de relève il doit exister au moins un device actif.,BQ313,1,1
2024-W33,30210_La date de fin doit être égale à la date de fin de la dernière PCC.,Exploitation - Période répartition,30210,La date de fin doit être égale à la date de fin de la dernière PCC.,BQ398,1,1
2024-W33,20805_Le local n'existe pas.,Patrimoine - PDS RFC,20805,Le local n'existe pas.,BR122,1,13
2024-W33,20807_La pièce n'existe pas.,Patrimoine - PDS RFC,20807,La pièce n'existe pas.,BR122,1,13
2024-W33,40405_Le Local n'existe pas.,Valorisation - Consommation Local,40405,Le Local n'existe pas.,BR122,1,18
2024-W33,21204_Le local n'existe pas.,Patrimoine - PDS CET,21204,Le local n'existe pas.,BR436,1,1
2024-W33,40218_Un index d'occupation ne peut pas être négatif.,Valorisation - Index,40218,Un index d'occupation ne peut pas être négatif.,BZ851,1,2
2024-W33,20516_Le code postal doit être sur 5 caractères et composé uniquement de chiffres.,Patrimoine - Site Construit,20516,Le code postal doit être sur 5 caractères et composé uniquement de chiffres.,CB507;CR458,2,90
2024-W33,"22906_Le PDS RFC possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",Patrimoine - PDS Evènements (Codes Obs),22906,"Le PDS RFC possède une Pose, non initiale, qui n'est pas précédée par une Dépose.",CD895;CJ398;CO012,3,3
2024-W33,10217_Le nom du client contractuel doit être renseigné.,Contrat - Infos générales,10217,Le nom du client contractuel doit être renseigné.,CG470,1,1
2024-W33,23111_Non Pose incohérente située entre deux poses.,Patrimoine - PDS Evènements (Codes Obs),23111,Non Pose incohérente située entre deux poses.,CI724,1,1
2024-W33,30005_La date de début doit être antérieure à la date de fin.,Exploitation - Exercice Comptable,30005,La date de début doit être antérieure à la date de fin.,CJ138,1,1
2024-W33,23103_La Non Pose EC a un code observation inéligible.,Patrimoine - PDS Evènements (Codes Obs),23103,La Non Pose EC a un code observation inéligible.,CN987,1,1
2024-W33,40713_La clé de répartition des frais ECS doit être renseignée.,Valorisation - Répartition,40713,La clé de répartition des frais ECS doit être renseignée.,CO115,1,5
2024-W33,40728_Il existe des lignes de frais avec les postes DeductionEcs et Chauffage sur la répartition et ces postes ne sont pas compatibles entre eux.,Valorisation - Répartition,40728,Il existe des lignes de frais avec les postes DeductionEcs et Chauffage sur la répartition et ces postes ne sont pas compatibles entre eux.,DA015,1,1
2024-W33,"20217_Le site possède trop de traitements pour être migré. Cette restriction est temporaire, le site pourra être migré prochainement.",Validation DataWareHouse,20217,"Le site possède trop de traitements pour être migré. Cette restriction est temporaire, le site pourra être migré prochainement.",AZ917,1,1
